,,,,,Qualifier Brackets: challonge.com/3dozc0xl,,,,,,
,,,player names and team Elos are in Sheet 2 of this document,,"Main Event Brackets: challonge.com/bqag1j2f
",,,,,,
Round,Date,Time,Teams,Streamer,URL,language,caster,URL,LANGuage,Day,Time
Qualifiers,,,,,,,,,,,
1 (Singele elim BO3),Monday April 26,,,,,,,,,,
1,Tuesday April 27,,,,,,,,,,
1,Wednesday April 28,,,,,,,,,,
1,Thursday April 29,00:00 GMT,YEPGE vs Bulldogs,Lil Trouble,www.twitch.tv/liltrouble__,EN,,,,,
1,,02:00 GMT,DJ Mel in the mix vs ZhnuggleMonsterz ,Lil Trouble,www.twitch.tv/liltrouble__,EN,,,,,
1,,17:00 GMT,Sandstorm vs Choo Choo Train,Brix_aoe,https://www.twitch.tv/brix_aoe,EN,KrisB,www.twitch.tv/krisb_aoe,EN,Thursday April 29,20:30 GMT
1,,,,,,,Maggy,www.twitch.tv/maggy205,EN,Thursday April 29,20:30 GMT
1,,18:00 GMT,Haily rotti vs Love will prevail ,,,,KrisB,www.twitch.tv/krisb_aoe,EN,Thursday April 29,20:30 GMT
1,,,,,,,Maggy,www.twitch.tv/maggy205,EN,Thursday April 29,20:30 GMT
1,Friday April 30,22:00 GMT,Base0nFire vs Brasil & Argentina,sxz (POV),www.twitch.tv/sxzf,PT,,,,,
1,,,,Akr0ma,www.twitch.tv/akr0ma,EN,,,,,
1,Saturday May 1,15:00 GMT,Mastapiece vs Soli d'Abisso ,Akr0ma,www.twitch.tv/akr0ma,EN,,,,,
1,,17:00 GMT,Jacky & Ducky vs Mr & Mrs Smith,sieste, www.twitch.tv/multiples_siestes,EN,,,,,
1,Sunday May 2,,,,,,,,,,
2 (single elim BO3),Monday May 3,,,,,,,,,,
2,Tuesday May 4,,,,,,,,,,
2,Wednesday May 5,14:30 GMT,Sandstorm vs Nellie,TinyTriss,https://www.twitch.tv/tinytriss,EN,,,,,
2,,,,ellie4k (POV),www.twitch.tv/ellie4k,EN,,,,,
