Custom Colour Palette - Daisy Autumn Colours 2021,"changes the player colours on the units, ",daehiise,9.10.2021,45041,Graphics,https://pfcatalogcontent1.blob.core.windows.net/xuid-2535427811013194/7ea8b60f-faf6-4143-be04-65be1d039a90/daisy_colours.png?width=1280&height=720
Custom UI - Brass,"This mod replaces the UI by a compaxt, bottom centered UI in a dark blue/brass/gold style, heavily inspired by the AoE IV UI. ",daehiise,3.10.2021,44683,"Graphics, User Interface",https://pfcatalogcontent1.blob.core.windows.net/xuid-2535427811013194/fba382d7-aca9-4c13-a69b-526fa10ca2f7/G5.png?width=1280&height=720
Custom UI - Slim Regional,"This Mod changes the UI to an all-bottom UI that is still regional, but much slimmer than the original UI. ",daehiise,3.10.2021,44670,"Graphics, User Interface",https://pfcatalogcontent2.blob.core.windows.net/xuid-2535427811013194/0ee1a069-8e68-4d44-986e-65de1924be7e/B7.png?width=1280&height=720
Anne_HK-Better Command and Spectator panel (Top Ctrl Group Ver.),"Increase Font Size , Change Text Color on Hover , Make User Interface Readable 放大字體, 修改選取文字的顏色, 增加界面可閱讀性",Anne HK,2.10.2021,44602,User Interface,https://pfcatalogcontent1.blob.core.windows.net/xuid-2535472695406244/aadc3468-843b-44fb-9a51-776336af10d9/mod_thumbnail_v2.png?width=1280&height=720
Anne_HK-Better Command and Spectator panel,"Increase Font Size 放大字體, Change Text Color on Hover 修改選取文字的顏色, Make User Interface Readable 增加界面可閱讀性",Anne HK,2.10.2021,44601,User Interface,https://pfcatalogcontent2.blob.core.windows.net/xuid-2535472695406244/15fcdcda-1637-4b03-b6f7-4027c2d0d9eb/mod_thumbnail_v1.png?width=1280&height=720
Age Of Queens (Reupload),"Inspired by the female player base in the AoE2:DE community. This Mod attempts to bring more female characters to the in-game units, by making the following graphics changes: Militia - Joan of Arch (On foot). Spearman - Amazon Warrior. Archer - Amazon Archer. Knight - Joan of Arc (mounted) . West Monk - Yodit/Monk Cart . West King - Queen Hope you guys enjoy! Let me know what you think .Changes are Multiplayer Friendly.",Mahiky3695,6.11.2020,43482,"Graphics, User Interface",https://xforgeassets001.xboxlive.com/xuid-2535472990716465/d0b972d4-a7ca-43be-98a6-a4ec6a0748e0/_preview-icon.jpg?width=1280&height=720
Anne_HK - Bigger Animals (Herdable and Huntable),"Resized Animals - Including: Goat, Goose, Pig, Sheep, Turkey, Deer, Ibex, Ostrich, Zebra, Elephant(smaller) 已修改的小動物包括: 山羊、鵝、豬、綿羊、火雞、鹿、羱羊、鴕鳥、斑馬、大象(變小)",Anne HK,11.9.2021,42877,Graphics,https://xforgeassets001.xboxlive.com/xuid-2535472695406244/5eaa3602-28a5-41bb-a904-e3e121af5865/bigger_animal_mod_thumbnail.png?width=1280&height=720
Amazing Tunnel,It's Amazon Tunnel - but more sexy,daehiise,24.7.2021,38828,Random Maps,https://xforgeassets002.xboxlive.com/xuid-2535427811013194/474afd94-56ec-4f3a-b18c-cca5a6955d67/Amazing_Tunnel.png?width=1280&height=720
Anne_HK - Bigger and Eye-catching Relic,Bigger and Eye-catching Relic / 搶眼的放大版遺跡,Anne HK,17.7.2021,37614,Graphics,https://xforgeassets002.xboxlive.com/xuid-2535472695406244/433baa03-b406-46fe-b37d-522844b95941/mod_thumbnail.png?width=1280&height=720
Anne_HK - Monk Pointer (Attack and Carry Relic Only),Adding a triangle pointer to the top of a monk(Attack & Carry Relic Mode only). It is easy for players to identify the location of monks. Not compatible with UHD version,Anne HK,5.6.2021,23167,Graphics,https://xforgeassets001.xboxlive.com/xuid-2535472695406244/29a2e1f0-9ba4-4741-a87c-f799d84bd765/monk_thumbnail_01_v2.png?width=1280&height=720
