,Seed,Team ,Team ELO,Player 1,,Player 2,,
,1,Andette,3498,Odette,https://aoe2.net/#profile-207414,Ando ,https://aoe2.net/#profile-200073,MAIN EVENT QUALIFIER
,2,DS_Choripan con Aguacate,3495,Valeria Huesca,https://aoe2.net/#profile-410691,BLACK,https://aoe2.net/#profile-2792305,MAIN EVENT QUALIFIER
,3,R&B,3492,小雨Renee,https://www.aoe2.net/#profile-1590955,B02,https://www.aoe2.net/#profile-352068,MAIN EVENT QUALIFIER
,4,cloudmunk,3492,chipmunk,https://aoe2.net/#profile-408571,gkt_cloud,https://aoe2.net/#profile-199419,MAIN EVENT QUALIFIER
,5,silly goosies,3490,RoxyC,https://aoe2.net/#profile-4796235,Shed,https://aoe2.net/#profile-208952,MAIN EVENT QUALIFIER
,6,CleMic,3475,Mica_,https://aoe2.net/#profile-236757,Sombragris,https://aoe2.net/#profile-2383543,MAIN EVENT QUALIFIER
,7,LaochraGaelFans,3461,Huni,https://aoe2.net/#profile-2543270,ReCoN,https://aoe2.net/#profile-985308,MAIN EVENT QUALIFIER
,8,big black dock ,3461,NAOMI SEXY BABY,https://aoe2.net/#profile-2985089,Sunset ,https://aoe2.net/#profile-256356,MAIN EVENT QUALIFIER
,9,Questionable Morels,3450,Lavie_Head,https://aoe2.net/#profile-4345753,Forastero,https://aoe2.net/#profile-1451215,MAIN EVENT QUALIFIER
,10,Nellie,3413,ellie4k,https://aoe2.net/#profile-1686373,Nili_AoE,https://aoe2.net/#profile-197751,MAIN EVENT QUALIFIER
,11,Jupe_Run,3398,Hippo_Run,https://aoe2.net/#profile-297539,Jupe,https://aoe2.net/#profile-208080,
,12,Suomi Z,3397,yosumi,https://aoe2.net/#profile-1235427 ,TheAntman,https://aoe2.net/#profile-339191 ,
,13,Stepbrothers,3394,frrexe,https://aoe2.net/#profile-3209543,Shades,https://aoe2.net/#profile-1793493,MAIN EVENT QUALIFIER
,14,Royal fighters,3317,noellecat ,https://aoe2.net/#profile-3132111,FreakinAndy ,https://aoe2.net/#profile-1531083,
,15,"""Un gars une fille""",3316,Kougrialka ,https://aoe2.net/#profile-209321,Poseidon,https://aoe2.net/#profile-1444675,MAIN EVENT QUALIFIER
,16,De Locos,3269,faker,https://aoe2.net/#profile-5432249,tatoh89,https://aoe2.net/#profile-197388,MAIN EVENT QUALIFIER
,17,Uzikottiti è_é,3260,Ottilia,https://aoe2.net/#profile-1689641,Uzikoti,https://aoe2.net/#profile-1143826,
,18,Team Tub-optimal ,3256,LilTrouble,https://aoe2.net/#profile-76561198918095140,Salted Pepper,https://aoe2.net/#profile-938639,
,19,LuB Team,3207,夢夢momo,https://aoe2.net/#profile-76561199057214009,Rory,https://aoe2.net/#profile-438920,MAIN EVENT QUALIFIER
,20,Noobs,3092,LeitiBug,https://aoe2.net/#profile-4187426,MrPlanner,https://aoe2.net/#profile-4362836,
,21,I was made for loving you,3078,Lady_Iwona,https://aoe2.net/#profile-217174,Zastosy,https://aoe2.net/#profile-1510463,MAIN EVENT QUALIFIER
,22,Peaceful Boomers,3038,Medusa,https://aoe2.net/#profile-576707,Feather,https://aoe2.net/#profile-463630,MAIN EVENT QUALIFIER
,23,Beauty and the Beast,3034,Elhyar,https://aoe2.net/#profile-1109147,Melonade,https://aoe2.net/#profile-3266645,
,24,fish'n'chips,3029,hlh19,https://aoe2.net/#profile-1899167,TheTedBaker,https://aoe2.net/#profile-603612,
,25,Gwiżdżące Gżegżółki,3023,shanavii ,https://aoe2.net/#profile-253068,GwizdeK & newt ,https://aoe2.net/#profile-245082,
,26,noobsQad,3002,daehiise,https://aoe2.net/#profile-247781,Pete26196 ,https://aoe2.net/#profile-275448,
,27,Memes & Dreams,3001,sayrumz,https://aoe2.net/#profile-1901686,AR12,https://aoe2.net/#profile-229173,
,28,The B-Team,2985,Akroma,https://aoe2.net/#profile-1954858,Fylion ,https://aoe2.net/#profile-939703,
,29,New York City ,2982,neyswife ,https://aoe2.net/#profile-2006709,[HyM]Dr.Kozmonot,https://aoe2.net/#profile-3446882,
,30,ge T rolled,2981,luci,https://aoe2.net/#profile-2940229,pren,https://aoe2.net/#profile-2014691,
,31,The Birdies,2951,Leaprima,https://aoe2.net/#profile-3343222,Lighty,https://aoe2.net/#profile-738035,
,32,Puggles,2936,Poods,https://aoe2.net/#profile-580297,Chuggles91,https://aoe2.net/#profile-1070042,
,33,DJ Mel in the mix,2929,MangoMel ,https://aoe2.net/#profile-2931777,dj0wns ,https://aoe2.net/#profile-293286,
,34,YEPGE,2800,Alaska,https://aoe2.net/#profile-2756005,x0r6zt,https://aoe2.net/#profile-1361744,
,35,Mr. & Mrs. Smith,2786,Julinse,https://aoe2.net/#profile-624041,Michaerbse,https://aoe2.net/#profile-1286760,
,36,Mastapiece ,2760,Eleda au Venatus,https://aoe2.net/#profile-368986,Davis,https://aoe2.net/#profile-321347,
,37,Haily Rotti,2671,Lotti,https://aoe2.net/#profile-3430673,Reto,https://aoe2.net/#profile-376699,
,38,Base0nFire,2662,Sarah,https://aoe2.net/#profile-839363,F0NG_,https://aoe2.net/#profile-298062,
,39,Sandstorm,2582,usva,https://aoe2.net/#profile-1256388,Pekkakana,https://aoe2.net/#profile-1577906,
,40,cumanonyourboom,2523,CharChar ,https://aoe2.net/#profile-988308,LonzoWall,https://aoe2.net/#profile-1815757,
,41,rojitos,2514,sivagxa,https://aoe2.net/#profile-1143542,spell,https://aoe2.net/#profile-2522873,
,42,Choo Choo Train,2463,TinyTriss,https://aoe2.net/#profile-236934,Jotschi,https://aoe2.net/#profile-18139,
,43,Brasil & Argentina,2359,Kerrigan,https://aoe2.net/#profile-229261,sxz,https://aoe2.net/#profile-471163,
,44,Love Will Prevail,2345,aixela38 ,https://aoe2.net/#profile-1910099,Manu974 ,https://aoe2.net/#profile-1865512,
,45,Soli d'Abisso,2317,oceaningabyss,https://aoe2.net/#profile-2309137,francesco_solidoro,https://aoe2.net/#profile-2661925,
,46,Jacky & Ducky,2289,"Jacqueline ""Hainaut"" Sailer",https://aoe2.net/#profile-311157,Lord Patito,https://aoe2.net/#profile-1822799,
,47,Bulldogs,2063,Eight,https://aoe2.net/#profile-673401,marks ,https://aoe2.net/#profile-731915,
,48,ZhnuggleMonsterz,1702,kz,https://aoe2.net/#profile-4348110,nerdofempires,https://aoe2.net/#profile-2431201,
